idcredito,target,duracao,valor,cd_tempo_parcelamento,tempo_parcelamento,cd_residencia_desde,residencia_desde,idade,cd_emprestimo_existente,emprestimo_existente,dependentes,socio_empresa,cd_estrangeiro,estrangeiro,historico_credito,proposito,cd_investimentos,faixa_investimento,cd_emprego,faixa_tempo_emprego,estado_civil,possui_fiador,habitacao,outros_financiamentos,qualificacao_profissional
255,1,9,2030,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,24,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,1,Desconhecido,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
256,1,60,7418,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,27,1,Nenhum,1,0,0,Não,Atrasos anteriores,reforma,1,Desconhecido,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
257,1,24,2684,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,35,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
258,0,12,2149,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,29,1,Nenhum,1,0,0,Não,todos pagos,reforma,2,<100,3,1<=X<4,Casado,nao,de graca,nenhum,qualificado
259,1,15,3812,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,23,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,5,100<=X<500,1,<1,Solteiro,nao,proria,nenhum,qualificado
260,1,11,1154,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,57,3,Médio (3-4 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,5,100<=X<500,5,Desempregado,Solteiro,nao,proria,nenhum,nao qualificado
261,1,12,1657,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,27,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
262,1,24,1603,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,55,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,2,>=7,Solteiro,nao,proria,nenhum,qualificado
263,1,18,5302,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,36,3,Médio (3-4 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo novo,2,<100,2,>=7,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
264,1,12,2748,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,57,3,Médio (3-4 empréstimos),1,0,0,Não,Critico-outros creditos,educacao,2,<100,2,>=7,Solteiro,nao,de graca,banco,nao qualificado
265,1,10,1231,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,32,2,Baixo (1-2 empréstimos),2,0,1,Sim,Critico-outros creditos,veiculo novo,2,<100,2,>=7,Viuvo,nao,proria,nenhum,nao qualificado
266,0,15,802,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,37,1,Nenhum,2,0,0,Não,existentes/pagos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
267,1,36,6304,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,36,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,abrir negocio,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,qualificado
268,1,24,1533,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,38,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,2,<100,1,<1,Solteiro,nao,proria,loja,qualificado
269,0,14,8978,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,45,1,Nenhum,1,1,1,Sim,existentes/pagos,veiculo novo,2,<100,2,>=7,Casado,nao,proria,nenhum,altamente qualificado/empresario
271,1,18,2662,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,32,1,Nenhum,1,0,1,Sim,existentes/pagos,veiculo novo,1,Desconhecido,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
272,1,12,1402,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,37,1,Nenhum,1,1,0,Não,Critico-outros creditos,moveis,3,500<=X<1000,4,4<=X<7,Solteiro,nao,alugada,nenhum,qualificado
273,1,48,12169,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,36,1,Nenhum,1,1,0,Não,todos pagos,veiculo novo,1,Desconhecido,5,Desempregado,Viuvo,co requerente,de graca,nenhum,altamente qualificado/empresario
274,0,48,3060,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,28,2,Baixo (1-2 empréstimos),1,0,0,Não,existentes/pagos,reforma,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
275,0,30,11998,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,34,1,Nenhum,1,1,0,Não,existentes/pagos,reforma casa,2,<100,1,<1,Casado,nao,proria,nenhum,nao qualificado
276,1,9,2697,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,32,1,Nenhum,2,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
277,1,18,2404,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,26,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
278,1,12,1262,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,49,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,1,Desconhecido,2,>=7,Casado,nao,proria,nenhum,nao qualificado
279,0,6,4611,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,32,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,1,<1,Solteiro,nao,proria,nenhum,qualificado
280,1,24,1901,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,29,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,5,100<=X<500,3,1<=X<4,Viuvo,nao,alugada,nenhum,altamente qualificado/empresario
233,1,12,2141,3,3-Parcelamento de 7 a 12 meses,1,1-Residência fixa,35,1,Nenhum,1,0,0,Não,,reforma,5,100<=X<500,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
281,1,15,3368,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,23,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo usado,4,>=1000,2,>=7,Viuvo,nao,alugada,nenhum,qualificado
282,1,12,1574,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,50,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
283,1,18,1445,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,49,1,Nenhum,1,0,0,Não,todos pagos,reforma,1,Desconhecido,4,4<=X<7,Viuvo,nao,proria,banco,nao qualificado
284,1,15,1520,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,63,1,Nenhum,1,0,0,Não,Critico-outros creditos,moveis,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,qualificado
285,1,24,3878,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,37,1,Nenhum,1,1,0,Não,Critico-outros creditos,veiculo novo,5,100<=X<500,1,<1,Casado,nao,proria,nenhum,qualificado
286,1,47,10722,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,35,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo novo,2,<100,1,<1,Solteiro,nao,proria,nenhum,nao qualificado
287,1,48,4788,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,26,1,Nenhum,2,0,0,Não,existentes/pagos,veiculo usado,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
288,1,48,7582,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,31,1,Nenhum,1,1,0,Não,Atrasos anteriores,outros,5,100<=X<500,5,Desempregado,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
289,1,12,1092,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,49,2,Baixo (1-2 empréstimos),1,1,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Solteiro,sim,proria,nenhum,qualificado
290,0,24,1024,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,48,1,Nenhum,1,0,0,Não,Atrasos anteriores,reforma,2,<100,1,<1,Divorciado,nao,proria,loja,qualificado
291,1,12,1076,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,26,1,Nenhum,1,1,1,Sim,existentes/pagos,abrir negocio,2,<100,3,1<=X<4,Divorciado,nao,proria,nenhum,qualificado
292,0,36,9398,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,28,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,2,<100,1,<1,Divorciado,nao,alugada,nenhum,altamente qualificado/empresario
293,1,24,6419,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,44,2,Baixo (1-2 empréstimos),2,1,0,Não,Critico-outros creditos,veiculo usado,2,<100,2,>=7,Solteiro,nao,de graca,nenhum,altamente qualificado/empresario
294,1,42,4796,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,56,1,Nenhum,1,0,0,Não,Critico-outros creditos,veiculo usado,2,<100,2,>=7,Viuvo,nao,de graca,nenhum,qualificado
295,1,48,7629,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,46,2,Baixo (1-2 empréstimos),2,0,0,Não,Critico-outros creditos,abrir negocio,1,Desconhecido,2,>=7,Casado,nao,proria,banco,altamente qualificado/empresario
296,0,48,9960,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,26,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,2,<100,1,<1,Solteiro,nao,proria,nenhum,qualificado
297,1,12,4675,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,20,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo usado,1,Desconhecido,1,<1,Solteiro,nao,alugada,nenhum,qualificado
298,1,10,1287,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,45,1,Nenhum,1,0,1,Sim,existentes/pagos,veiculo novo,1,Desconhecido,2,>=7,Viuvo,co requerente,proria,nenhum,nao qualificado
299,1,18,2515,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,43,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
300,1,21,2745,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,32,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,moveis,4,>=1000,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
301,1,6,672,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,54,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo novo,2,<100,5,Desempregado,Solteiro,nao,proria,nenhum,desempregado
302,0,36,3804,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,42,1,Nenhum,1,1,0,Não,sem creditos/todos pagos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
303,0,24,1344,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,37,2,Baixo (1-2 empréstimos),2,0,0,Não,Critico-outros creditos,veiculo novo,1,Desconhecido,4,4<=X<7,Viuvo,nao,proria,banco,nao qualificado
304,1,10,1038,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,49,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo novo,2,<100,4,4<=X<7,Viuvo,co requerente,proria,nenhum,qualificado
305,0,48,10127,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,44,1,Nenhum,1,0,0,Não,Critico-outros creditos,veiculo novo,3,500<=X<1000,3,1<=X<4,Viuvo,nao,de graca,banco,qualificado
306,1,6,1543,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,33,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,4,>=1000,3,1<=X<4,Casado,nao,proria,nenhum,qualificado
307,1,30,4811,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,24,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo usado,1,Desconhecido,4,4<=X<7,Solteiro,nao,alugada,loja,nao qualificado
308,0,12,727,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,33,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,5,100<=X<500,1,<1,Divorciado,nao,proria,nenhum,nao qualificado
309,0,8,1237,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,24,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
310,1,9,276,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,22,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,3,1<=X<4,Divorciado,nao,alugada,nenhum,nao qualificado
311,1,48,5381,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,40,1,Nenhum,1,1,0,Não,existentes/pagos,outros,1,Desconhecido,5,Desempregado,Viuvo,nao,de graca,banco,desempregado
312,1,24,5511,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,25,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,5,100<=X<500,3,1<=X<4,Viuvo,nao,proria,loja,qualificado
313,1,24,3749,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,26,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,1,<1,Solteiro,nao,proria,nenhum,qualificado
314,0,12,685,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,25,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,4,4<=X<7,Divorciado,nao,proria,banco,nao qualificado
315,1,4,1494,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,29,1,Nenhum,2,0,1,Sim,existentes/pagos,veiculo novo,1,Desconhecido,1,<1,Viuvo,nao,proria,nenhum,nao qualificado
316,0,36,2746,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,31,1,Nenhum,1,0,0,Não,todos pagos,moveis,2,<100,2,>=7,Viuvo,nao,proria,banco,qualificado
317,1,12,708,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,38,1,Nenhum,2,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,sim,proria,nenhum,nao qualificado
318,1,24,4351,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,48,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,1,Desconhecido,3,1<=X<4,Solteiro,nao,proria,nenhum,nao qualificado
319,1,12,701,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,32,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,educacao,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
320,1,15,3643,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,27,2,Baixo (1-2 empréstimos),1,0,0,Não,Atrasos anteriores,moveis,2,<100,2,>=7,Solteiro,nao,proria,nenhum,nao qualificado
321,0,30,4249,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo novo,2,<100,5,Desempregado,Divorciado,nao,proria,nenhum,altamente qualificado/empresario
322,0,24,1938,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,32,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,1,<1,Casado,nao,proria,nenhum,qualificado
323,1,24,2910,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,34,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,2,<100,4,4<=X<7,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
324,1,18,2659,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,4,>=1000,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
325,1,18,1028,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,36,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo novo,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
326,1,8,3398,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,39,2,Baixo (1-2 empréstimos),1,0,1,Sim,Critico-outros creditos,veiculo novo,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,nao qualificado
327,1,12,5801,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,49,1,Nenhum,1,1,0,Não,Critico-outros creditos,moveis,1,Desconhecido,2,>=7,Viuvo,nao,alugada,nenhum,qualificado
328,1,24,1525,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,34,1,Nenhum,2,1,0,Não,existentes/pagos,veiculo novo,4,>=1000,4,4<=X<7,Solteiro,nao,proria,nenhum,qualificado
329,1,36,4473,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,31,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
330,1,6,1068,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,28,1,Nenhum,2,0,0,Não,existentes/pagos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
331,1,24,6615,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,75,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo usado,2,<100,5,Desempregado,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
332,0,18,1864,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,30,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,educacao,5,100<=X<500,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
333,0,60,7408,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,24,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,5,100<=X<500,1,<1,Solteiro,nao,proria,nenhum,altamente qualificado/empresario
334,0,48,11590,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,24,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo usado,5,100<=X<500,3,1<=X<4,Solteiro,nao,alugada,banco,nao qualificado
335,0,24,4110,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,23,2,Baixo (1-2 empréstimos),2,0,0,Não,sem creditos/todos pagos,moveis,2,<100,2,>=7,Viuvo,nao,alugada,banco,qualificado
336,0,6,3384,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,44,1,Nenhum,1,1,0,Não,Critico-outros creditos,moveis,2,<100,3,1<=X<4,Casado,nao,alugada,nenhum,altamente qualificado/empresario
337,1,13,2101,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,23,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,1,<1,Solteiro,sim,proria,nenhum,nao qualificado
338,0,15,1275,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,24,1,Nenhum,1,0,0,Não,existentes/pagos,quitar divida,1,Desconhecido,3,1<=X<4,Solteiro,nao,alugada,nenhum,qualificado
339,1,24,4169,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,28,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
340,1,10,1521,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,31,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Casado,nao,proria,nenhum,nao qualificado
341,1,24,5743,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,24,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,educacao,2,<100,1,<1,Solteiro,nao,de graca,nenhum,qualificado
342,1,21,3599,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,26,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,4,4<=X<7,Solteiro,nao,alugada,nenhum,nao qualificado
343,1,18,3213,1,1-Parcelamento em até 3 meses,3,3-Residência com familiares,25,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,1,<1,Divorciado,nao,alugada,nenhum,qualificado
344,1,18,4439,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,33,1,Nenhum,1,1,0,Não,existentes/pagos,abrir negocio,2,<100,2,>=7,Viuvo,co requerente,proria,banco,altamente qualificado/empresario
345,1,10,3949,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,37,1,Nenhum,2,0,0,Não,existentes/pagos,veiculo novo,2,<100,1,<1,Viuvo,sim,proria,nenhum,nao qualificado
346,1,15,1459,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,43,1,Nenhum,1,0,0,Não,Critico-outros creditos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,nao qualificado
347,1,13,882,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,23,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,2,<100,1,<1,Viuvo,sim,proria,nenhum,qualificado
348,1,24,3758,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,23,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,5,Desempregado,Solteiro,nao,alugada,nenhum,desempregado
349,1,6,1743,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,34,2,Baixo (1-2 empréstimos),1,0,0,Não,Atrasos anteriores,abrir negocio,5,100<=X<500,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
351,1,9,1236,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,23,1,Nenhum,1,1,0,Não,existentes/pagos,quitar divida,2,<100,1,<1,Solteiro,nao,alugada,nenhum,qualificado
352,0,9,959,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,29,1,Nenhum,1,0,1,Sim,existentes/pagos,moveis,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
353,1,18,3229,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,38,1,Nenhum,1,1,0,Não,Critico-outros creditos,veiculo usado,1,Desconhecido,5,Desempregado,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
354,0,12,6199,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,2,Baixo (1-2 empréstimos),1,1,0,Não,sem creditos/todos pagos,reforma,2,<100,3,1<=X<4,Viuvo,nao,alugada,nenhum,qualificado
355,1,10,727,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,46,1,Nenhum,1,1,0,Não,existentes/pagos,educacao,3,500<=X<1000,2,>=7,Viuvo,nao,de graca,nenhum,qualificado
357,1,12,2331,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,49,1,Nenhum,1,1,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Viuvo,co requerente,proria,nenhum,qualificado
358,0,36,4463,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,26,2,Baixo (1-2 empréstimos),1,1,0,Não,Atrasos anteriores,reforma,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
359,1,12,776,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Divorciado,nao,proria,nenhum,qualificado
360,0,30,2406,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,23,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,4,4<=X<7,Solteiro,nao,alugada,nenhum,qualificado
361,1,18,1239,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,61,1,Nenhum,1,0,0,Não,existentes/pagos,educacao,1,Desconhecido,3,1<=X<4,Viuvo,nao,de graca,nenhum,qualificado
362,1,12,3399,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,37,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
363,1,12,2247,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,36,2,Baixo (1-2 empréstimos),1,1,0,Não,Atrasos anteriores,veiculo novo,2,<100,3,1<=X<4,Solteiro,nao,proria,loja,qualificado
364,1,6,1766,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,21,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Divorciado,nao,alugada,nenhum,qualificado
365,0,18,2473,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,25,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,5,Desempregado,Viuvo,nao,proria,nenhum,desempregado
366,1,12,1542,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,36,1,Nenhum,1,1,0,Não,existentes/pagos,abrir negocio,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
367,1,18,3850,3,3-Parcelamento de 7 a 12 meses,1,1-Residência fixa,27,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo usado,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
368,1,18,3650,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,22,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,1,<1,Solteiro,nao,alugada,nenhum,qualificado
369,0,36,3446,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,42,1,Nenhum,2,0,0,Não,existentes/pagos,moveis,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
370,1,18,3001,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,40,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,4,4<=X<7,Solteiro,nao,alugada,nenhum,qualificado
371,1,36,3079,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,36,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,1,Desconhecido,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
372,1,18,6070,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,33,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
373,1,10,2146,1,1-Parcelamento em até 3 meses,3,3-Residência com familiares,23,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,moveis,2,<100,1,<1,Solteiro,nao,alugada,nenhum,qualificado
374,1,60,13756,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,63,1,Nenhum,1,1,0,Não,Critico-outros creditos,veiculo novo,1,Desconhecido,2,>=7,Viuvo,nao,de graca,banco,altamente qualificado/empresario
375,0,60,14782,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,60,2,Baixo (1-2 empréstimos),1,1,0,Não,todos pagos,outros,5,100<=X<500,2,>=7,Solteiro,nao,de graca,banco,altamente qualificado/empresario
376,0,48,7685,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,37,1,Nenhum,1,0,0,Não,todos pagos,abrir negocio,2,<100,4,4<=X<7,Solteiro,sim,alugada,nenhum,qualificado
377,1,18,2320,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,34,2,Baixo (1-2 empréstimos),1,0,0,Não,Atrasos anteriores,reforma,2,<100,5,Desempregado,Divorciado,nao,proria,nenhum,qualificado
378,1,7,846,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,36,1,Nenhum,1,0,0,Não,Atrasos anteriores,reforma,1,Desconhecido,2,>=7,Viuvo,nao,de graca,nenhum,qualificado
